RowID,Survey Method,Survey Type,Reporting Date,Reporting Year,City,Age,Age Group,Gender,Race,Ethnicity,Hispanic,Veteran Status,Chronic,Latitude,Longitude,Geolocation
4982,Interview,App,01/27/2020,2020,Chandler,25-54,25+,male,Black or African American,No,Black or African American,No,,33.30051336,-111.841200767,POINT (-111.841200767 33.30051336)
6029,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,Yes,White,,,33.45968446,-112.06483002,POINT (-112.06483002 33.45968446)
4865,Interview,App,01/27/2020,2020,Phoenix,55-61,25+,female,White,No,White,No,,33.571391911,-112.080375836,POINT (-112.080375836 33.571391911)
6422,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,DK/REF,DK/REF,DK/REF,,,33.46029354,-112.06939034,POINT (-112.06939034 33.46029354)
5887,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,DK/REF,DK/REF,No,DK/REF,,,33.44614488,-112.08480284,POINT (-112.08480284 33.44614488)
6178,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,male,DK/REF,DK/REF,DK/REF,,,33.568653208,-112.063829228,POINT (-112.063829228 33.568653208)
6253,Observation Tool,App,01/27/2020,2020,Mesa,62+,25+,male,White,No,White,,,33.394105624,-111.684944049,POINT (-111.684944049 33.394105624)
6829,Observation Tool,App,01/27/2020,2020,Mesa,25-54,25+,male,DK/REF,Yes,DK/REF,,,33.40145487,-111.84942648,POINT (-111.84942648 33.40145487)
6746,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,,,33.553269444,-112.103913899,POINT (-112.103913899 33.553269444)
5631,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,,,33.44607464,-112.08863518,POINT (-112.08863518 33.44607464)
6297,Observation Tool,App,01/27/2020,2020,Mesa,55-61,25+,male,DK/REF,DK/REF,DK/REF,,,33.45175052,-111.82872001,POINT (-111.82872001 33.45175052)
6258,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.446592707,-112.086926401,POINT (-112.086926401 33.446592707)
7099,Observation Tool,Paper,01/27/2020,2020,Chandler,25-54,25+,female,American Indian or Alaska Native,DK/REF,American Indian or Alaska Native,,,33.299852,-111.840958,POINT (-111.840958 33.299852)
4887,Interview,App,01/27/2020,2020,Mesa,25-54,25+,male,White,No,White,No,true,33.392942953,-111.840248248,POINT (-111.840248248 33.392942953)
5780,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.44537023,-112.08696338,POINT (-112.08696338 33.44537023)
5551,Interview,App,01/27/2020,2020,Guadalupe,18-24,18-24,male,American Indian or Alaska Native,Yes,American Indian or Alaska Native,No,,33.361814129,-111.96250219,POINT (-111.96250219 33.361814129)
5321,Interview,App,01/27/2020,2020,Mesa,25-54,25+,male,Black or African American,Yes,Black or African American,No,,33.407623186,-111.833578181,POINT (-111.833578181 33.407623186)
6026,Observation Tool,App,01/27/2020,2020,Tempe,25-54,25+,female,Black or African American,No,Black or African American,,,33.42174936,-111.93594655,POINT (-111.93594655 33.42174936)
6857,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,American Indian or Alaska Native,Yes,American Indian or Alaska Native,,,33.46582213,-112.21777435,POINT (-112.21777435 33.46582213)
5728,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.44488084,-112.084738555,POINT (-112.084738555 33.44488084)
5660,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.44597973,-112.08724252,POINT (-112.08724252 33.44597973)
5031,Interview,App,01/27/2020,2020,Chandler,55-61,25+,female,White,No,White,No,,33.300112286,-111.84143085,POINT (-111.84143085 33.300112286)
6853,Observation Tool,App,01/27/2020,2020,Phoenix,55-61,25+,male,White,No,White,,,33.4519214,-112.20357619,POINT (-112.20357619 33.4519214)
5724,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,,,33.446487507,-112.088237549,POINT (-112.088237549 33.446487507)
6751,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,American Indian or Alaska Native,No,American Indian or Alaska Native,,,33.567151069,-112.100069107,POINT (-112.100069107 33.567151069)
5692,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,,,33.445935455,-112.088402301,POINT (-112.088402301 33.445935455)
7095,Observation Tool,Paper,01/27/2020,2020,Phoenix,18-24,18-24,male,White,DK/REF,White,,,33.47699,-112.11206,POINT (-112.11206 33.47699)
5471,Interview,App,01/27/2020,2020,Tempe,25-54,25+,male,Multiple Races,No,Multiple Races,Yes,true,33.43611558,-111.941728201,POINT (-111.941728201 33.43611558)
6442,Observation Tool,App,01/27/2020,2020,Mesa,25-54,25+,male,Black or African American,No,Black or African American,,,33.40764917,-111.833550939,POINT (-111.833550939 33.40764917)
5182,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,Black or African American,No,Black or African American,No,true,33.64088848,-112.09609705,POINT (-112.09609705 33.64088848)
6351,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,,,33.537735846,-112.099332875,POINT (-112.099332875 33.537735846)
5084,Interview,App,01/27/2020,2020,Phoenix,55-61,25+,male,White,No,White,No,true,33.49448552,-112.15995977,POINT (-112.15995977 33.49448552)
5236,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,Black or African American,No,Black or African American,No,,33.5687073,-112.0993059,POINT (-112.0993059 33.5687073)
